[2025-11-08T21:23:34.781912] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:39.790037] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:44.796090] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:49.802346] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:54.809484] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:59.816393] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:04.856014] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:09.898541] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:14.905952] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:19.913687] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:24.920461] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:29.926633] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:34.933012] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:39.939248] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:44.945853] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:49.952441] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:54.961014] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:24:59.968685] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:04.975383] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:09.985571] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:14.992437] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:20.000318] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:25.006325] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:30.014656] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:35.022405] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:40.031210] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:45.038903] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:50.046488] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:25:55.054835] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:00.061318] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:05.068118] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:10.076780] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:15.084555] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:20.090646] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:25.097359] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:30.105182] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:35.111238] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:40.122094] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:45.128350] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:50.135221] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:26:55.142008] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:00.148244] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:05.154134] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:10.160168] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:15.166861] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:20.173644] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:25.179940] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:30.186121] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:35.192525] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:40.198966] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:45.206413] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:50.213573] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:27:55.219915] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:00.227015] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:05.233234] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:10.240454] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:15.246899] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:20.253625] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:25.260250] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:30.266695] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:35.273462] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:40.280158] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:45.287039] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:50.293279] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:28:55.299380] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:29:00.306953] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:29:05.313928] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:29:10.320106] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:29:15.326792] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:34:29.954482] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:56:09.243608] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:56:14.252760] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:06.953025] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:11.980874] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:16.989380] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:21.996772] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:27.004814] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:32.011916] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:37.019807] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:42.027139] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:47.034543] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:52.040962] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:58:57.049462] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:02.058617] - X=0.5001, Y=0.4995, Z=0.9957
